v4_gene_model	v3_gene_model
Zm00001d049077	AC191691.3_FG011
Zm00001d024554	AC191708.3_FG001
Zm00001d024559	AC191708.3_FG002
Zm00001d014770	AC191771.3_FG008
Zm00001d002551	AC191961.3_FG009
Zm00001d015182	AC192244.3_FG007
Zm00001d032666	AC192362.3_FG002
Zm00001d032666	AC192362.3_FG003
Zm00001d050024	AC192367.2_FG002
Zm00001d034355	AC192381.3_FG004
Zm00001d016041	AC192451.3_FG001
Zm00001d031874	AC192608.3_FG004
Zm00001d026127	AC193324.3_FG002
Zm00001d043091	AC193379.3_FG001
Zm00001d003579	AC193440.3_FG009
Zm00001d005623	AC193466.3_FG001
Zm00001d009560	AC193479.2_FG002
Zm00001d027286	AC193500.3_FG003
Zm00001d024954	AC193576.3_FG003
Zm00001d053445	AC193591.3_FG001
Zm00001d035125	AC193598.3_FG002
Zm00001d015253	AC193606.2_FG001
Zm00001d015255	AC193606.2_FG005
Zm00001d045375	AC193630.3_FG003
Zm00001d045374	AC193630.3_FG004
Zm00001d049727	AC193632.2_FG002
Zm00001d024653	AC193645.3_FG006
Zm00001d034265	AC193745.3_FG002
Zm00001d034266	AC193745.3_FG003
Zm00001d026694	AC193767.3_FG003
Zm00001d011847	AC193786.3_FG005
Zm00001d035978	AC194005.3_FG004
Zm00001d039328	AC194022.3_FG013
Zm00001d044027	AC194056.3_FG008
Zm00001d034242	AC194072.3_FG005
Zm00001d023412	AC194104.3_FG007
Zm00001d023409	AC194104.3_FG010
Zm00001d009492	AC194112.3_FG001
Zm00001d000159	AC194133.3_FG004
Zm00001d000203	AC194158.3_FG005
Zm00001d004835	AC194163.3_FG001
Zm00001d031508	AC194172.3_FG008
Zm00001d006915	AC194203.3_FG003
Zm00001d037955	AC194214.3_FG002
Zm00001d031973	AC194264.3_FG006
Zm00001d031661	AC194272.3_FG003
Zm00001d024565	AC194273.3_FG006
Zm00001d024562	AC194273.3_FG007
Zm00001d043702	AC194298.3_FG005
Zm00001d049667	AC194335.3_FG001
Zm00001d013681	AC194338.3_FG008
Zm00001d011278	AC194341.4_FG002
Zm00001d011277	AC194341.4_FG003
Zm00001d011276	AC194341.4_FG004
Zm00001d009338	AC194355.3_FG002
Zm00001d052823	AC194357.3_FG003
Zm00001d044680	AC194362.3_FG003
Zm00001d012572	AC194405.3_FG009
Zm00001d012575	AC194405.3_FG021
Zm00001d043276	AC194425.3_FG005
Zm00001d019537	AC194457.3_FG001
Zm00001d024055	AC194467.3_FG006
Zm00001d031031	AC194480.3_FG001
Zm00001d031030	AC194480.3_FG003
Zm00001d015588	AC194591.2_FG005
Zm00001d037467	AC194592.2_FG001
Zm00001d053054	AC194670.2_FG001
Zm00001d045367	AC194719.3_FG002
Zm00001d040012	AC194734.3_FG004
Zm00001d038341	AC194828.3_FG004
Zm00001d042430	AC194839.3_FG001
Zm00001d036945	AC194852.3_FG007
Zm00001d030274	AC194856.3_FG002
Zm00001d030274	AC194856.3_FG007
Zm00001d027592	AC194863.3_FG006
Zm00001d030045	AC194914.3_FG002
Zm00001d015806	AC194937.3_FG004
Zm00001d037604	AC194965.4_FG001
Zm00001d037605	AC194965.4_FG004
Zm00001d006678	AC194970.5_FG001
Zm00001d006677	AC194970.5_FG002
Zm00001d006681	AC194970.5_FG004
Zm00001d006679	AC194970.5_FG005
Zm00001d006680	AC194970.5_FG009
Zm00001d044014	AC194972.2_FG001
Zm00001d018059	AC194974.3_FG005
Zm00001d021889	AC194977.2_FG004
Zm00001d052135	AC194980.3_FG005
Zm00001d034483	AC195135.3_FG002
Zm00001d022055	AC195138.3_FG004
Zm00001d022253	AC195147.3_FG001
Zm00001d022249	AC195147.3_FG008
Zm00001d046355	AC195148.3_FG001
Zm00001d043667	AC195154.3_FG004
Zm00001d008303	AC195172.3_FG001
Zm00001d036861	AC195220.3_FG003
Zm00001d036856	AC195220.3_FG007
Zm00001d008949	AC195230.2_FG003
Zm00001d032908	AC195307.3_FG001
Zm00001d013159	AC195340.3_FG001
Zm00001d013156	AC195340.3_FG002
Zm00001d013154	AC195340.3_FG004
Zm00001d013155	AC195340.3_FG005
Zm00001d019958	AC195343.3_FG002
Zm00001d017099	AC195347.4_FG004
Zm00001d030446	AC195402.3_FG001
Zm00001d017973	AC195458.3_FG001
Zm00001d011583	AC195536.3_FG006
Zm00001d036272	AC195587.4_FG003
Zm00001d036280	AC195587.4_FG004
Zm00001d004292	AC195596.3_FG002
Zm00001d004292	AC195596.3_FG005
Zm00001d033015	AC195608.3_FG005
Zm00001d033013	AC195608.3_FG006
Zm00001d016055	AC195685.3_FG001
Zm00001d031231	AC195785.3_FG004
Zm00001d032048	AC195794.3_FG002
Zm00001d051642	AC195796.3_FG001
Zm00001d038976	AC195860.3_FG005
Zm00001d038975	AC195860.3_FG006
Zm00001d022224	AC195864.3_FG017
Zm00001d007270	AC195874.2_FG002
Zm00001d015448	AC195957.3_FG003
Zm00001d048939	AC196002.2_FG002
Zm00001d018073	AC196008.1_FG004
Zm00001d015040	AC196025.3_FG009
Zm00001d015057	AC196025.3_FG010
Zm00001d015042	AC196025.3_FG011
Zm00001d015043	AC196025.3_FG013
Zm00001d015044	AC196025.3_FG015
Zm00001d050909	AC196043.3_FG005
Zm00001d048284	AC196059.3_FG003
Zm00001d019742	AC196065.3_FG001
Zm00001d033155	AC196066.3_FG003
Zm00001d010154	AC196082.3_FG001
Zm00001d048495	AC196090.3_FG006
Zm00001d042139	AC196105.3_FG002
Zm00001d042326	AC196123.3_FG001
Zm00001d042354	AC196130.3_FG002
Zm00001d053844	AC196154.3_FG014
Zm00001d033530	AC196156.3_FG003
Zm00001d028767	AC196161.3_FG002
Zm00001d024442	AC196202.3_FG007
Zm00001d011382	AC196259.2_FG010
Zm00001d053070	AC196278.2_FG003
Zm00001d053070	AC196278.2_FG004
Zm00001d027897	AC196394.3_FG002
Zm00001d049601	AC196412.3_FG001
Zm00001d042226	AC196417.3_FG008
Zm00001d011213	AC196426.3_FG007
Zm00001d019942	AC196436.3_FG002
Zm00001d011558	AC196465.3_FG002
Zm00001d011560	AC196465.3_FG006
Zm00001d049541	AC196475.3_FG004
Zm00001d049540	AC196475.3_FG005
Zm00001d003896	AC196489.3_FG002
Zm00001d042602	AC196637.2_FG002
Zm00001d053884	AC196708.3_FG006
Zm00001d004362	AC196719.3_FG002
Zm00001d021160	AC196726.2_FG001
Zm00001d036107	AC196779.3_FG003
Zm00001d042964	AC196780.4_FG003
Zm00001d028343	AC196789.3_FG001
Zm00001d002220	AC196954.2_FG012
Zm00001d031250	AC196957.3_FG005
Zm00001d021477	AC196961.2_FG003
Zm00001d048883	AC196974.3_FG008
Zm00001d023369	AC196978.5_FG002
Zm00001d021846	AC197013.3_FG003
Zm00001d020355	AC197029.3_FG003
Zm00001d050285	AC197047.3_FG001
Zm00001d004033	AC197056.3_FG005
Zm00001d014429	AC197109.3_FG004
Zm00001d015247	AC197118.3_FG005
Zm00001d013653	AC197122.3_FG003
Zm00001d037206	AC197124.3_FG004
Zm00001d036694	AC197140.2_FG001
Zm00001d039212	AC197143.3_FG007
Zm00001d023283	AC197146.3_FG001
Zm00001d023282	AC197146.3_FG002
Zm00001d041309	AC197150.3_FG003
Zm00001d014730	AC197164.4_FG002
Zm00001d006261	AC197242.3_FG001
Zm00001d031562	AC197246.3_FG001
Zm00001d031560	AC197246.3_FG003
Zm00001d015341	AC197265.3_FG005
Zm00001d003420	AC197340.3_FG003
Zm00001d015686	AC197355.3_FG001
Zm00001d049792	AC197377.3_FG001
Zm00001d049797	AC197377.3_FG004
Zm00001d042553	AC197541.3_FG009
Zm00001d022641	AC197544.3_FG002
Zm00001d028238	AC197545.3_FG002
Zm00001d044548	AC197555.3_FG008
Zm00001d043309	AC197578.4_FG001
Zm00001d024998	AC197672.3_FG002
Zm00001d045232	AC197699.3_FG002
Zm00001d045233	AC197699.3_FG003
Zm00001d045238	AC197699.3_FG005
Zm00001d045240	AC197699.3_FG008
Zm00001d010588	AC197705.4_FG001
Zm00001d010586	AC197705.4_FG003
Zm00001d010587	AC197705.4_FG004
Zm00001d010589	AC197705.4_FG006
Zm00001d010590	AC197705.4_FG007
Zm00001d010591	AC197705.4_FG008
Zm00001d010585	AC197705.4_FG011
Zm00001d048085	AC197717.3_FG002
Zm00001d052336	AC197758.3_FG004
Zm00001d014250	AC197764.4_FG003
Zm00001d052902	AC197783.3_FG005
Zm00001d033703	AC197835.3_FG001
Zm00001d047169	AC197901.3_FG003
Zm00001d036049	AC197909.3_FG002
Zm00001d046043	AC198019.2_FG004
Zm00001d020427	AC198081.2_FG005
Zm00001d017345	AC198169.4_FG004
Zm00001d035614	AC198179.4_FG001
Zm00001d035614	AC198179.4_FG002
Zm00001d015927	AC198206.5_FG001
Zm00001d051029	AC198324.3_FG003
Zm00001d005973	AC198353.5_FG001
Zm00001d005972	AC198353.5_FG004
Zm00001d019257	AC198357.3_FG002
Zm00001d032739	AC198361.3_FG004
Zm00001d023248	AC198366.3_FG004
Zm00001d023442	AC198371.3_FG003
Zm00001d048991	AC198403.3_FG001
Zm00001d046137	AC198414.2_FG001
Zm00001d034721	AC198418.3_FG005
Zm00001d023828	AC198421.3_FG003
Zm00001d022338	AC198481.3_FG004
Zm00001d009949	AC198494.3_FG002
Zm00001d025666	AC198506.3_FG001
Zm00001d025368	AC198509.3_FG005
Zm00001d026207	AC198515.3_FG011
Zm00001d041054	AC198518.3_FG002
Zm00001d041052	AC198518.3_FG003
Zm00001d041351	AC198518.3_FG005
Zm00001d021049	AC198597.4_FG001
Zm00001d023759	AC198699.3_FG004
Zm00001d007310	AC198700.2_FG004
Zm00001d044167	AC198725.4_FG004
Zm00001d044164	AC198725.4_FG007
Zm00001d044162	AC198725.4_FG009
Zm00001d050700	AC198752.4_FG004
Zm00001d016325	AC198766.3_FG005
Zm00001d023405	AC198781.3_FG002
Zm00001d024741	AC198787.3_FG001
Zm00001d024742	AC198787.3_FG004
Zm00001d019564	AC198901.4_FG004
Zm00001d011902	AC198923.4_FG002
Zm00001d050412	AC198937.4_FG003
Zm00001d050410	AC198937.4_FG005
Zm00001d027687	AC198979.4_FG009
Zm00001d011448	AC198982.3_FG006
Zm00001d050441	AC198993.3_FG004
Zm00001d011096	AC199001.3_FG005
Zm00001d011118	AC199039.3_FG003
Zm00001d009553	AC199043.2_FG002
Zm00001d047219	AC199054.3_FG003
Zm00001d042760	AC199067.2_FG004
Zm00001d007932	AC199068.2_FG017
Zm00001d033007	AC199175.2_FG003
Zm00001d033008	AC199175.2_FG006
Zm00001d004292	AC199182.3_FG003
Zm00001d009113	AC199204.3_FG002
Zm00001d011185	AC199315.4_FG001
Zm00001d002123	AC199343.3_FG013
Zm00001d025426	AC199355.3_FG004
Zm00001d009873	AC199363.4_FG003
Zm00001d026080	AC199370.4_FG006
Zm00001d030921	AC199487.4_FG002
Zm00001d030926	AC199487.4_FG003
Zm00001d030918	AC199488.4_FG003
Zm00001d030919	AC199488.4_FG004
Zm00001d040698	AC199526.5_FG001
Zm00001d040697	AC199526.5_FG002
Zm00001d040696	AC199526.5_FG003
Zm00001d029620	AC199541.4_FG001
Zm00001d029620	AC199541.4_FG002
Zm00001d029620	AC199541.4_FG004
Zm00001d029619	AC199541.4_FG007
Zm00001d045853	AC199543.4_FG004
Zm00001d024895	AC199571.3_FG003
Zm00001d024894	AC199571.3_FG004
Zm00001d015311	AC199577.4_FG004
Zm00001d009250	AC199701.4_FG001
Zm00001d025827	AC199705.3_FG008
Zm00001d002943	AC199765.4_FG008
Zm00001d011072	AC199771.4_FG001
Zm00001d006167	AC199782.5_FG001
Zm00001d006166	AC199782.5_FG002
Zm00001d006165	AC199782.5_FG003
Zm00001d010296	AC199810.3_FG003
Zm00001d006791	AC199820.4_FG006
Zm00001d032654	AC199893.4_FG002
Zm00001d031137	AC199908.4_FG002
Zm00001d024465	AC199911.5_FG001
Zm00001d011173	AC199918.4_FG003
Zm00001d026524	AC199961.4_FG004
Zm00001d028066	AC200038.4_FG011
Zm00001d021189	AC200057.4_FG007
Zm00001d052017	AC200065.5_FG009
Zm00001d025399	AC200069.4_FG002
Zm00001d008984	AC200099.4_FG003
Zm00001d008984	AC200099.4_FG006
Zm00001d004884	AC200112.4_FG007
Zm00001d021855	AC200143.3_FG003
Zm00001d004252	AC200178.2_FG003
Zm00001d030459	AC200207.2_FG001
Zm00001d035815	AC200209.1_FG001
Zm00001d044498	AC200210.1_FG006
Zm00001d024183	AC200225.5_FG001
Zm00001d036446	AC200287.4_FG006
Zm00001d040637	AC200298.4_FG001
Zm00001d040195	AC200490.3_FG005
Zm00001d021030	AC200540.3_FG002
Zm00001d024356	AC200622.3_FG005
Zm00001d039912	AC200725.4_FG008
Zm00001d046407	AC200739.5_FG001
Zm00001d018871	AC200753.3_FG003
Zm00001d016146	AC200887.4_FG002
Zm00001d014471	AC201815.4_FG001
Zm00001d050618	AC201891.3_FG001
Zm00001d033106	AC201898.4_FG004
Zm00001d006491	AC201995.4_FG001
Zm00001d032000	AC202011.3_FG010
Zm00001d047543	AC202069.3_FG002
Zm00001d003572	AC202073.4_FG001
Zm00001d018396	AC202076.3_FG009
Zm00001d028688	AC202101.3_FG002
Zm00001d019960	AC202110.3_FG004
Zm00001d045486	AC202122.2_FG001
Zm00001d019132	AC202129.3_FG001
Zm00001d047822	AC202144.5_FG001
Zm00001d029775	AC202172.3_FG004
Zm00001d024367	AC202178.3_FG002
Zm00001d011601	AC202181.3_FG010
Zm00001d030346	AC202185.4_FG004
Zm00001d050472	AC202187.4_FG003
Zm00001d013901	AC202396.4_FG010
Zm00001d003993	AC202435.3_FG001
Zm00001d003990	AC202435.3_FG003
Zm00001d037243	AC202439.3_FG001
Zm00001d037242	AC202439.3_FG006
Zm00001d049911	AC202707.3_FG002
Zm00001d052757	AC202855.3_FG004
Zm00001d038801	AC202864.3_FG002
Zm00001d049784	AC202900.3_FG001
Zm00001d010902	AC202915.3_FG002
Zm00001d042819	AC202921.3_FG004
Zm00001d046585	AC202930.4_FG007
Zm00001d012873	AC202950.3_FG008
Zm00001d049098	AC202965.3_FG002
Zm00001d012889	AC202974.3_FG004
Zm00001d033573	AC203019.3_FG001
Zm00001d020644	AC203031.3_FG002
Zm00001d013829	AC203048.3_FG001
Zm00001d032234	AC203090.3_FG005
Zm00001d018874	AC203159.3_FG010
Zm00001d012767	AC203173.3_FG001
Zm00001d012769	AC203173.3_FG002
Zm00001d012770	AC203173.3_FG004
Zm00001d035362	AC203176.4_FG003
Zm00001d020009	AC203220.3_FG006
Zm00001d009650	AC203227.3_FG001
Zm00001d012295	AC203253.4_FG001
Zm00001d004797	AC203257.2_FG003
Zm00001d030642	AC203262.3_FG002
Zm00001d015002	AC203278.4_FG004
Zm00001d030312	AC203280.3_FG001
Zm00001d012552	AC203294.3_FG001
Zm00001d012543	AC203294.3_FG008
Zm00001d012551	AC203294.3_FG012
Zm00001d038624	AC203307.4_FG001
Zm00001d017225	AC203359.3_FG001
Zm00001d017944	AC203365.3_FG004
Zm00001d044363	AC203366.4_FG001
Zm00001d012726	AC203381.3_FG006
Zm00001d012315	AC203392.3_FG004
Zm00001d035442	AC203408.4_FG003
Zm00001d010413	AC203424.3_FG001
Zm00001d017970	AC203430.3_FG007
Zm00001d042287	AC203535.4_FG001
Zm00001d042288	AC203535.4_FG002
Zm00001d042289	AC203535.4_FG004
Zm00001d042286	AC203535.4_FG006
Zm00001d042285	AC203535.4_FG007
Zm00001d024841	AC203570.4_FG005
Zm00001d047060	AC203571.3_FG001
Zm00001d036741	AC203752.5_FG002
Zm00001d019497	AC203753.4_FG006
Zm00001d019497	AC203753.4_FG007
Zm00001d038358	AC203754.4_FG008
Zm00001d045746	AC203761.3_FG002
Zm00001d035744	AC203768.3_FG005
Zm00001d008368	AC203777.3_FG004
Zm00001d000315	AC203790.3_FG004
Zm00001d025656	AC203841.3_FG002
Zm00001d025658	AC203841.3_FG009
Zm00001d011026	AC203847.3_FG004
Zm00001d011017	AC203847.3_FG009
Zm00001d009759	AC203862.4_FG001
Zm00001d009760	AC203862.4_FG002
Zm00001d041444	AC203865.3_FG001
Zm00001d043478	AC203900.3_FG006
Zm00001d049539	AC203909.3_FG003
Zm00001d049536	AC203909.3_FG007
Zm00001d049534	AC203909.3_FG010
Zm00001d010267	AC203955.3_FG002
Zm00001d010270	AC203955.3_FG005
Zm00001d047056	AC203956.3_FG004
Zm00001d005578	AC203957.3_FG004
Zm00001d034904	AC203966.5_FG002
